ID,gender,category,value,indicators,amount,STATUS
54,Men,work,Working at a paid job or business,Rarely or never feels lonely,5618,0
55,Men,work,Retired,Always or often feels lonely,217,E
56,Men,work,Retired,Sometimes feels lonely,826,0
57,Men,work,Retired,Rarely or never feels lonely,1951,0
58,Men,work,Other activity,Always or often feels lonely,626,E
59,Men,work,Other activity,Sometimes feels lonely,1260,0
60,Men,work,Other activity,Rarely or never feels lonely,1742,0
61,Men,urbanization,Urban areas,Always or often feels lonely,1706,0
62,Men,urbanization,Urban areas,Sometimes feels lonely,4376,0
63,Men,urbanization,Urban areas,Rarely or never feels lonely,7875,0
64,Men,urbanization,Rural areas,Always or often feels lonely,190,E
65,Men,urbanization,Rural areas,Sometimes feels lonely,413,0
66,Men,urbanization,Rural areas,Rarely or never feels lonely,1435,0
67,Women,age,15 to 24 years,Always or often feels lonely,0,F
68,Women,age,15 to 24 years,Sometimes feels lonely,960,E
69,Women,age,15 to 24 years,Rarely or never feels lonely,782,E
70,Women,age,25 to 54 years,Always or often feels lonely,1054,0
71,Women,age,25 to 54 years,Sometimes feels lonely,2620,0
72,Women,age,25 to 54 years,Rarely or never feels lonely,3945,0
73,Women,age,25 to 34 years,Always or often feels lonely,361,E
74,Women,age,25 to 34 years,Sometimes feels lonely,943,0
75,Women,age,25 to 34 years,Rarely or never feels lonely,1286,0
76,Women,age,35 to 44 years,Always or often feels lonely,377,E
77,Women,age,35 to 44 years,Sometimes feels lonely,845,0
78,Women,age,35 to 44 years,Rarely or never feels lonely,1421,0
79,Women,age,45 to 54 years,Always or often feels lonely,316,E
80,Women,age,45 to 54 years,Sometimes feels lonely,831,0
81,Women,age,45 to 54 years,Rarely or never feels lonely,1238,0
82,Women,age,55 to 64 years,Always or often feels lonely,294,E
83,Women,age,55 to 64 years,Sometimes feels lonely,829,0
84,Women,age,55 to 64 years,Rarely or never feels lonely,1470,0
85,Women,age,65 years and over,Always or often feels lonely,441,0
86,Women,age,65 years and over,Sometimes feels lonely,1166,0
87,Women,age,65 years and over,Rarely or never feels lonely,2179,0
88,Women,age,65 to 74 years,Always or often feels lonely,269,E
89,Women,age,65 to 74 years,Sometimes feels lonely,657,0
90,Women,age,65 to 74 years,Rarely or never feels lonely,1382,0
91,Women,age,75 years and over,Always or often feels lonely,172,E
92,Women,age,75 years and over,Sometimes feels lonely,509,0
93,Women,age,75 years and over,Rarely or never feels lonely,797,0
94,Women,immigration,Non-immigrants,Always or often feels lonely,1685,0
95,Women,immigration,Non-immigrants,Sometimes feels lonely,3990,0
96,Women,immigration,Non-immigrants,Rarely or never feels lonely,6220,0
97,Women,immigration,Immigrants,Always or often feels lonely,545,E
98,Women,immigration,Immigrants,Sometimes feels lonely,1498,0
99,Women,immigration,Immigrants,Rarely or never feels lonely,2043,0
100,Women,education,"No certificate, diploma or degree",Always or often feels lonely,425,E
101,Women,education,"No certificate, diploma or degree",Sometimes feels lonely,779,0
102,Women,education,"No certificate, diploma or degree",Rarely or never feels lonely,1087,0
103,Women,education,Secondary (high) school diploma or equivalency certificate,Always or often feels lonely,602,0
104,Women,education,Secondary (high) school diploma or equivalency certificate,Sometimes feels lonely,1467,0
105,Women,education,Secondary (high) school diploma or equivalency certificate,Rarely or never feels lonely,2013,0
106,Women,education,Apprenticeship or trades certificate or diploma,Always or often feels lonely,0,F
107,Women,education,Apprenticeship or trades certificate or diploma,Sometimes feels lonely,254,E
108,Women,education,Apprenticeship or trades certificate or diploma,Rarely or never feels lonely,476,0
109,Women,education,"College, CEGEP or other non-university certificate or diploma",Always or often feels lonely,445,0
110,Women,education,"College, CEGEP or other non-university certificate or diploma",Sometimes feels lonely,1169,0
111,Women,education,"College, CEGEP or other non-university certificate or diploma",Rarely or never feels lonely,1878,0
112,Women,education,Bachelor's degree or higher,Always or often feels lonely,518,0
113,Women,education,Bachelor's degree or higher,Sometimes feels lonely,1681,0
114,Women,education,Bachelor's degree or higher,Rarely or never feels lonely,2502,0
115,Women,work,Working at a paid job or business,Always or often feels lonely,1034,0
116,Women,work,Working at a paid job or business,Sometimes feels lonely,2746,0
117,Women,work,Working at a paid job or business,Rarely or never feels lonely,4017,0
118,Women,work,Retired,Always or often feels lonely,385,0
119,Women,work,Retired,Sometimes feels lonely,1262,0
120,Women,work,Retired,Rarely or never feels lonely,2129,0
121,Women,work,Other activity,Always or often feels lonely,826,0
122,Women,work,Other activity,Sometimes feels lonely,1566,0
123,Women,work,Other activity,Rarely or never feels lonely,2231,0
124,Women,urbanization,Urban areas,Always or often feels lonely,1953,0
125,Women,urbanization,Urban areas,Sometimes feels lonely,4884,0
126,Women,urbanization,Urban areas,Rarely or never feels lonely,7067,0
127,Women,urbanization,Rural areas,Always or often feels lonely,291,E
128,Women,urbanization,Rural areas,Sometimes feels lonely,690,0
129,Women,urbanization,Rural areas,Rarely or never feels lonely,1309,0
